is_small,is_medium,is_big,has_2_legs,has_4_legs,has_hair,has_hooves,has_mane,has_feathers,likes_to_hunt,likes_to_run,likes_to_fly,likes_to_swim,name
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0,Dove
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0,Hen
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1,Duck
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1,Goose
1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0,Owl
1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0,Hawk
0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0,Eagle
0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0,Fox
0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0,Dog
0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0,Wolf
1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0,Cat
0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0,Tiger
0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0,Lion
0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0,Horse
0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0,Zebra
0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0,Cow